Entity_type,AR/FA_Name,Original_EN_Name,Tranformed_EN_Name,Category_of_Entity,Disambiguating_GEO_entities,GEOID_from_GEONAMES ,LAT,LNG,Granular/other_name,comments,Number_of_Camels,File,File_Name_in_AR/FA,File_Name_in_EN,Category_of_File_Name
Geographic,لير ,Līr,Lir,Village,Found in geonames w/certainty,125665,25.63795,58.86532,Līrdaf,,40,makran.txt,مكران,Makran ,Coast
Geographic,لاور,Lāvar(I),Lavar(I),Village,Found in geonames w/certainty,125780,28.59403,51.56741,Lāvar-e Pā’īn,,12,dashti.txt,دشتي,Dashti,District
Geographic,لاش ,Lāsh ,Lash ,Unspecified,Found in geonames w/certainty,125843,25.68282,58.07516,,,30,jashk_district.txt,جاشک,Jashk district ,District
Geographic,لاش,Lāsh,Lash,Village,Found in geonames w/certainty,125844,25.61097,59.36208,,,50,makran.txt,مكران,Makran ,Coast
Geographic,لافت,Lāft ,Laft ,Village,Found in geonames w/certainty,126035,26.896,55.7584,,,20,laft.txt,لافت,Laft,Village
Geographic,لاپنک,Lāpink,Lapink,Unspecified,Found in geonames w/certainty,126037,25.77176,57.75097,,,10,jashk_district.txt,جاشک,Jashk district ,District
Geographic,كشكنار,Kashkunār,Kashkunar,Village,Found in geonames w/certainty,126089,27.2512,52.8668,,,60,gabandi.txt,كابندي,Gabandi,Valley
Geographic,قلوغان,Qulūghān,Qulughan,Village,Found in geonames w/certainty,126298,27.2063,56.6421,,,10,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,كوهستك,Kūhistak,Kuhistak,Village,Found in geonames w/certainty,126362,26.8021,57.0267,,,5,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,كوه مبارك,Mūbarak (kūh),Kuh Mubarak ,Unspecified,Found in geonames w/certainty,126385,25.827,57.3475,,,50,jashk_district.txt,جاشک,Jashk district ,District
Geographic,كوهك,Kūhak,Kuhak,Channel,Found in geonames w/certainty,126418,29.4723,50.6865,,,100,hayat_davud.txt,حيات داود,Hayat davud,District
Geographic,كنخك شمالي,Gankhak Shamāli,Gankhak Shamali,Village,Found in geonames w/certainty,126465,28.28673,51.57521,,,80,dashti.txt,دشتي,Dashti,District
Geographic,كندرون,Kundarūn,Kundarun,Unspecified,Found in geonames w/certainty,126652,26.75523,54.45641,,,60,shibkuh.txt,شيب كوه,SHIBKUH,District
Geographic,كنه خيمه,Kunchkhaimeh,Kunchkhaimeh,Village,Found in geonames w/certainty,126680,27.3265,52.762,,,5,gabandi.txt,كابندي,Gabandi,Valley
Geographic,كنار سياه ,Kunār Siyāh,Kunar Siyah,Village,Found in geonames w/certainty,126685,26.664,55.43,,,4,qishm_island.txt,قشم,QISHM ISLAND ,Island
Geographic,كندمي,Gandumi,Gandumi,Unspecified,Found in genomes w/uncertainty,126723,27.02,56.9991,Kombīl,"Could be one of three cities, this one fits best, but they are all close",5,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,كلل,Kulu,Kulu,Village,Found in genomes w/uncertainty,126761,28.7228,51.2396,,There are two places with the same name that fits lorimer describtion. 1. kolal-e ‘olyā 2.Kolal-e Soflá. the geoid is for the former.,12,dashti.txt,دشتي,Dashti,District
Geographic,كلاوي,Kalāvi,Kalavi,Unspecified,Found in geonames w/certainty,126838,27.0607,56.8727,Kolāhī,,30,minab_district.txt,ميناب / مينار ,MINAB / MINAU ,District
Geographic,كزيريز,Gazrīz,Gazriz,Village,Found in geonames w/certainty,126861,27.2471,56.7295,,,30,shamil_district.txt,شميل / شميلات,SHAMIL / SHAMILaT,District
Geographic,خرموج,Khurmūj ,Khurmuj ,Town,Found in geonames w/certainty,127014,28.6543,51.38,,,1000,khurmuj.txt,خرموج,Khurmuj ,Town
Geographic,خيارو,Khiyāru,Khiyaru,Village,Found in geonames w/certainty,127457,27.4067,52.7546,,,10,gabandi.txt,كابندي,Gabandi,Valley
Geographic,خياري,Khiyāri,Khiyari,Unspecified,Found in geonames w/certainty,127458,28.8698,51.1774,,,50,tangistan.txt,تنگستان,TANGISTAN,District
Geographic,خره,Khareh,Khareh,Village,Found in geonames w/certainty,127611,27.3202,52.7798,,,10,gabandi.txt,كابندي,Gabandi,Valley
Geographic,خمير,Khamīr,Khamir,Village,Found in geonames w/certainty,127992,26.9521,55.5851,,,50,khamir.txt,خمير,Khamir,Village
Geographic,كرادون,Kurdavān,Kurdavan,Village,Found in geonames w/certainty,128260,28.186,51.4302,,,25,dashti.txt,دشتي,Dashti,District
Geographic,كاشي,Kāshi stream,Kashi stream,Stream,Found in geonames w/certainty,128462,25.56336,59.20734,,,350,makran.txt,مكران,Makran ,Coast
Geographic,كرّي,Karri,Karri,Village,Found in geonames w/certainty,128520,28.41766,51.14033,,,30,tangistan.txt,تنگستان,TANGISTAN,District
Geographic,كركوشكي,Kargūshki,Kargushki,Village,Found in geonames w/certainty,128655,26.1777,57.2413,,,10,biyaban.txt,بيابان,Biyaban,District
Geographic,كراي,Karāi,Karai,Village,Found in geonames w/certainty,128677,26.2285,57.2303,,,7,biyaban.txt,بيابان,Biyaban,District
